Date Started,Who am I,Rating,Was your issue resolved,Comments,Who worked on your issue
11/19/2018,Vendor,5,Yes,"Very professional, knowledgeable and precise.","Sherry, Specialist"
11/19/2018,Vendor,5,Yes,Customer Service rep complied with my request to resend email to verify we were able to receive emails after being notified your emails were not coming through to us.,"Sherry, Specialist"
11/19/2018,Vendor,5,Yes,Friendly and excellent customer service,"Jennifer, Specialist"
11/16/2018,Vendor,5,Yes,[No Answer Entered],"Jamel, Lead"
11/16/2018,Other,5,Yes,[No Answer Entered],"Sherry, Specialist"
11/16/2018,Vendor,5,Yes,[No Answer Entered],"Devyonne, Specialist"
11/16/2018,Other,5,Yes,Always a pleasure to work with Natasha! Thanks for all your help!,"Natasha, Lead"
11/16/2018,Buyer,5,Yes,"The customer service representative was very patient and helped walk me through step by step on how to resolve me issue. She was pleasant throughout, even when we hit a few roadblocks during my call. I really appreciate all her help, as she made this a great customer service experience!","Portia, Specialist"
11/16/2018,Buyer,5,Yes,Specialist was knowledgeable and courteous. However I waited 20 minutes for my call was answered. The recording kept saying one caller ahead.,"Miranda, Specialist"
11/16/2018,Buyer,5,Yes,Sherry provided the information I requested regarding a vendor's pending registration.,"Sherry, Specialist"
11/16/2018,Buyer,5,Yes,The young lady I spoke with listened to what was happening on my end and quickly resolved my issue by walking me through the steps to correct it. great job.,"Joann, Specialist"
11/16/2018,Vendor,5,Yes,"My issues were resolved quite quickly, but I was on hold for a considerable amount of time. It ended up being a 25 minute phone call just for some password/account help. However, my experience with the lady on the phone was very helpful and pleasant.","Natasha, Lead"
11/16/2018,Vendor,5,Yes,"My representative Mal was  very helpful, respectful and , knowledgeable, passionate with my question I do appreciate all you guys doing to help us.","Jamel, Lead"
11/16/2018,Vendor,5,Yes,I can't remember her name (Sherry??) but she was very helpful,"Portia, Specialist"
11/16/2018,Vendor,5,Yes,Very short wait time,"Sherry, Specialist"
11/16/2018,Vendor,5,Yes,she was pleasant and helpful,"Joann, Specialist"
11/15/2018,Vendor,5,Yes,[No Answer Entered],"Devyonne, Specialist"
11/15/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
11/15/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
11/15/2018,Buyer,5,Yes,[No Answer Entered],"Portia, Specialist"
11/15/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/15/2018,Vendor,4,Yes,"There was a little confusion getting to the answer I needed but we worked through it and got to the bottom of it.  I was further directed to contact ""Billing"" to completely resolve my questions.","Devyonne, Specialist"
11/15/2018,SWaM,5,Yes,Very good and the question was answered promptly by Portia.,"Portia, Specialist"
11/15/2018,Other,5,Yes,The agent was extremely courteous and was able to provide the information I was looking for.,"Miranda, Specialist"
11/15/2018,Buyer,5,Yes,"I received the information I needed to make an action decision and I am always pleased with the results.

Thanks for and excellent job well done!!","Portia, Specialist"
11/15/2018,Buyer,5,Yes,"The rep was very helpful and patient and made sure my issue was resolved before getting off the phone with me!! She even took the time to get her Lead to help me.  Please give her a raise!!! :)
I'm sorry I wished I remembered her name.","Portia, Specialist"
11/15/2018,Buyer,5,Yes,Very nice and understanding,"Sherry, Specialist"
11/15/2018,Buyer,5,Yes,"I'm sorry, but I can not remember the gentleman's name I spoke with. He really helped me with a call back from yesterday. I was sure the company I order from has a punch out catalog. He told me they only have a non-catalog order. So, this is why I couldn't find them yesterday. I greatly appreciate all of everyone's help. When you don't order often from a company. I guess we all forget about things. I do greatly thank you and especially for the return call. Thanks again, Ellen","Joann, Specialist"
11/15/2018,Vendor,5,Yes,We appreciate the prompt attention to our needs. All was handled professionally.,"Portia, Specialist"
11/15/2018,Vendor,5,Yes,"Very friendly, courteous and prompt response","Portia, Specialist"
11/15/2018,Vendor,5,Yes,Portia was very helpful and resolved the issue so I was able to place my bid for the QQ,"Portia, Specialist"
11/15/2018,Vendor,5,Yes,This was my second time having to call - and both ladies who helped me were SO KIND and SO SMART!!!! Please thank them for me! They are special in that they never made me feel stupid!!!!,"Miranda, Specialist"
11/15/2018,Vendor,5,Yes,Miranda was the best! She was patient and accurate in her assistance to get registration resolved... she has the right attitude for an over-worked admin like me - thank you again!,"Miranda, Specialist"
11/15/2018,Vendor,5,Yes,Very Helpful and knowledgeable.,"Sherry, Specialist"
11/14/2018,Vendor,5,Yes,[No Answer Entered],"Devyonne, Specialist"
11/14/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
11/14/2018,Buyer,4,No,The representative I had was extremely nice. She did everything she could to solve my issue. I couldn't get a vendor to come up in eVA. Our Shared Services told me others were having the same problem.,"Joann, Specialist"
11/14/2018,Other,5,Yes,The associate was very patient and took the time to resolve the issue.,"Joann, Specialist"
11/14/2018,Buyer,5,Yes,Portia was quite patient as my pc was doing unusual things.,"Portia, Specialist"
11/14/2018,Buyer,5,Yes,When receiving it would be great if you reject items and it removes the line items if it would adjust the dollar amount of the purchase order to reflect the difference being removed. It can be confusing to receive items and then go in and process a change order to correct the purchase order amount to adjust the eVA fees for the vendor.,"Miranda, Specialist"
11/14/2018,Buyer,5,Yes,Very knowledgeable about how to direct me to resolve the problem!,"Sherry, Specialist"
11/14/2018,Buyer,5,Yes,Helpful and knowledgeable.,"Sherry, Specialist"
11/14/2018,Buyer,5,Yes,Sherry is my new hero,"Sherry, Specialist"
11/14/2018,Buyer,5,Yes,Your analyst are always very helpful to me.  It is indeed a pleasure to work with them.  Thanks as always for a job well done.,"Joann, Specialist"
11/14/2018,Vendor,5,Yes,The support person helped me figure out how to handle the fact that one company in EVA had been purchased by another company andif we needed to register the new company or could do a name change.,"Jamel, Lead"
11/14/2018,Vendor,5,Yes,Keep up the good work,"Devyonne, Specialist"
11/14/2018,Vendor,5,Yes,Natasha was great!  Very knowledgeable and very helpful!  Great customer service!,"Natasha, Lead"
11/14/2018,Vendor,5,Yes,"the representative was kind, helpful and stayed with me till I completed the process.  Great customer service.  I'm sorry but I did not clearly hear her name to be sure I had the correct person (left my company information in case that helps in identifying the correct person to thank).","Portia, Specialist"
11/14/2018,Vendor,5,Yes,She was excellent,"Sherry, Specialist"
11/14/2018,Vendor,5,Yes,The vendor was very knowledgeable and helpful.,"Jennifer, Specialist"
11/13/2018,Buyer,5,Yes,[No Answer Entered],"Natasha, Lead"
11/13/2018,Buyer,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/13/2018,SWaM,5,Yes,Very pleased with her help.,"Miranda, Specialist"
11/13/2018,Buyer,5,Yes,Fabulous!,"Natasha, Lead"
11/13/2018,Buyer,5,Yes,"Portia was my customer service rep and she once again navigated me through some parts of the requisition that were difficult. She was patient, very respectful of her position with me.","Portia, Specialist"
11/13/2018,Vendor,5,Yes,Natasha is terrific! She guided me through the site to get set up. She had very clear explanations and was a big help. The State of VA has a wonderful customer service department. TY,"Natasha, Lead"
11/13/2018,Vendor,5,Yes,Person was very knowledgeable and helpful.,"Jamel, Lead"
11/13/2018,Vendor,5,Yes,"Jamel was FANTASTIC!  I couldn't ask for a more helpful, courteous and professional representative.  Thank you!","Jamel, Lead"
11/13/2018,Vendor,5,Yes,"I got an AMAZING lady who drilled down into the issue I have been having for a month now! Had no idea there was a duplicate account that was cancelled. My EVA accounts very unhappy that I had let it lapse.... when I know I had NOT! She was wonderful, figured it out, told me what to do to fix it - GREAT!!!!!!","Portia, Specialist"
11/13/2018,Vendor,5,Yes,Cusotmer Service was very helpful and polite.,"Miranda, Specialist"
11/13/2018,Vendor,5,Yes,She was very friendly and very helpful.  I talk to people all the time and she ranks right up there with the best. She of course told me her name but I did not know I was going to be filling this out so now I do not remember.,"Sherry, Specialist"
11/13/2018,Vendor,5,Yes,She was very friendly and very helpful.  I talk to people all the time and she ranks right up there with the best. She of course told me her name but I did not know I was going to be filling this out so now I do not remember.,"Sherry, Specialist"
11/13/2018,Vendor,5,Yes,Cusotmer Service was very helpful and polite.,"Joann, Specialist"
11/10/2018,Other,5,Yes,[No Answer Entered],"Devyonne, Specialist"
11/10/2018,Other,5,Yes,[No Answer Entered],"Devyonne, Specialist"
11/9/2018,Vendor,5,Yes,[No Answer Entered],"Teresa, Analyst"
11/9/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/9/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/9/2018,Vendor,5,Yes,[No Answer Entered],"Sherry, Specialist"
11/9/2018,Buyer,3,Yes,"In VBO, the issue was when the default posting date for a VBO advertisement changes from today's date to tomorrow's date. 

The ""sort of"" answer was that eVA VBO does not change the default date, but to recheck the date and time before you click on ""Submit"" and then verify that the pending ""Publish"" date and time is what you intended (always good advice).

Through ""trial and error"" I found that eVA VBO does not change the ""Publish"" date until after 2 PM.  In my test of this theory, when I opened a new Amendment to a VBO advertisement just BEFORE 2 PM, the default ""publish"" date stayed TODAY's date, but when I tried a new  ""Amendment"" for the same solicitation at 2:45 PM today, eVA VBO had changed the default ""Publish"" date to ""TOMORROW's"" date. 

NOTE:  Since this was only a test. I did not actually submit a new VBO posting.","Sherry, Specialist"
11/9/2018,Other,5,Yes,T. Hudgins was assisting Montgomery County Public Schools - Angie Bland,"Portia, Specialist"
11/9/2018,Other,5,Yes,T. Hudgins was assisting Montgomery County Public Schools - Angie Bland,"Portia, Specialist"
11/9/2018,Buyer,5,Yes,Excellent Customer Service,"Natasha, Lead"
11/9/2018,Buyer,5,Yes,She was great and patient with me during the whole process.,"Miranda, Specialist"
11/9/2018,Buyer,5,Yes,As usual a quick response and friendly assistance. Thanks!,"Jennifer, Specialist"
11/9/2018,Buyer,5,Yes,As usual a quick response and friendly assistance. Thanks!,"Jennifer, Specialist"
11/9/2018,Vendor,5,No,The representative was friendly and efficient. She researched the issue and provided an answer.,"Joann, Specialist"
11/9/2018,Vendor,5,Yes,"Extremely nice, pleasant with clear concise instructions. Very helpful in resolving the issues.","Devyonne, Specialist"
11/9/2018,Vendor,5,Yes,"Extremely nice, pleasant with clear concise instructions. Very helpful in resolving the issues.","Devyonne, Specialist"
11/9/2018,Vendor,5,Yes,Was called when the call was not critical to resolution but very pleasant and closed the loop nicely.  Thank you!,"Teresa, Analyst"
11/9/2018,Vendor,5,Yes,PORTIA WAS VERY HELPFUL.  SHE WAS VERY KNOWLEDGEABLE AND VERY PROFESSIONAL.  SHE WALKED ME THROUGH MY PROBLEM AND WE HAD IT RESOLVED IN FIVE MINUTES.,"Portia, Specialist"
11/9/2018,Vendor,5,Yes,PORTIA WAS VERY HELPFUL.  SHE WAS VERY KNOWLEDGEABLE AND VERY PROFESSIONAL.  SHE WALKED ME THROUGH MY PROBLEM AND WE HAD IT RESOLVED IN FIVE MINUTES.,"Portia, Specialist"
11/9/2018,Vendor,5,Yes,The representative was EXCELLENT!  She walked me through everything I needed to do to resolve the issue I was having.  She reduced by blood pressure by 10 points!  :-),"Portia, Specialist"
11/9/2018,Vendor,5,Yes,Answered all my questions,"Portia, Specialist"
11/9/2018,Vendor,5,Yes,"Very helpful, friendly and polite","Portia, Specialist"
11/9/2018,Vendor,5,Yes,Don't remember ladies name but she was great.,"Portia, Specialist"
11/9/2018,Vendor,5,Yes,Jennifer did a fantastic job explaining and checked for other ways to resolve my problem and answer my question.,"Jennifer, Specialist"
11/9/2018,Vendor,5,Yes,Your customer services representative was absolutely great. The patient and the generosity of your representative made my experience with them very smooth and was grateful that they answered my call.Keep up the awesomeness.,"Jennifer, Specialist"
11/9/2018,Vendor,5,Yes,Portia was very helpful and figured out the issue that I was having and was able to direct me to the form that I needed to fill out.  She explained everything to me and I understood what I needed to do to resolve the issue.  The other person who I spoke to was very nice also.,"Portia, Specialist"
11/9/2018,Vendor,5,Yes,Portia was very helpful and figured out the issue that I was having and was able to direct me to the form that I needed to fill out.  She explained everything to me and I understood what I needed to do to resolve the issue.  The other person who I spoke to was very nice also.,"Portia, Specialist"
11/8/2018,Buyer,5,Yes,[No Answer Entered],"Portia, Specialist"
11/8/2018,Buyer,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/8/2018,Buyer,5,Yes,[No Answer Entered],"Portia, Specialist"
11/8/2018,Buyer,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/8/2018,Buyer,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/8/2018,Vendor,4,No,"I asked for an Social Media NAIC, specifically under Medicaid and/or health. I wasn't given a definitive answer even though I provided the exact name of the category I needed. Not sure why your team cannot provide a list of the available NAICS codes to search under, at the very least, if the actual NAIC code cannot be provided.","Sherry, Specialist"
11/8/2018,Vendor,4,Yes,"Your support staff are GREAT. 

your online system is horrible.  The error messages are obscure, and don't provide any guidance as to how to resolve an issue;  the reinstatement form directs you to find your inactive company on a list that apparently it will never be listed on;  you require forms to be faxed in the digital age, when everything is a pdf.

I realize you're a government entity, but it doesn't cost more to have more words on a website.","Sherry, Specialist"
11/8/2018,Other,1,No,I use EVA to find Bid Results and Awards for construction projects through out the state.  I have many problems locating the project if I do not have an ID number.  All of the localities and or state departments are not listed under Entity and are hard to find.  I do not know in advance the status of the project except that it has already closed. I do not know the opening date and they are not listed in date order.  The new system is very time consuming and unorganized.  The old system had a much better search engine. I hope you will consider fixing these issues.,"Miranda, Specialist"
11/8/2018,SWaM,5,Yes,"THE EXPERIENCE WAS VERY PROFESSIONAL. PORTIA HAD TREMENDOUS PATIENCE AND WENT ABOVE & BEYOND TO HELP. THEN, YESTERDAY SHE FOLLOWED-UP ON MY CALL.

THANK YOU PORTIA......","Portia, Specialist"
11/8/2018,Buyer,5,Yes,"Thankfully, the lady I spoke with was very knowledgeable and told me what to do to resolve my problem.","Jennifer, Specialist"
11/8/2018,Buyer,5,Yes,"The issues was not resolved. But, not due to Jennifer.  The vendor must submit paperwork to get themselves reinstated. 

But, she was very helpful in providing the information I needed going forward.
Thank you","Jennifer, Specialist"
11/8/2018,Buyer,5,Yes,Jennifer assisted me in getting my UAT Training Login reset by getting me to the right person. Thanks for your help!! Password was Reset Successfully!,"Jennifer, Specialist"
11/8/2018,Buyer,5,Yes,Joann provided superb customer service and was able to help me resolve my issue.,"Joann, Specialist"
11/8/2018,Vendor,5,Yes,"They went that extra step to help me out, thank you.","Devyonne, Specialist"
11/8/2018,Vendor,5,Yes,My rep was very friendly. When she did not know an answer she would find it and then tell me what it was. She asked me questions to make sure I  understood them information given.,"Devyonne, Specialist"
11/8/2018,Vendor,5,Yes,Wonderful service!,"Joann, Specialist"
11/8/2018,Vendor,5,Yes,"She was patient with me and waited on the phone with me until everything was complete, also very kind!","Jennifer, Specialist"
11/8/2018,Vendor,5,Yes,The Lady that helped me was quite knowledgeable and assisted me to solve my registration problem(s).  Extremely pleasant and helpful in getting me registered with eVA.,"Jennifer, Specialist"
11/8/2018,Vendor,5,Yes,Very helpful and called me back right away after we had a phone issue!,"Devyonne, Specialist"
11/8/2018,Vendor,5,Yes,Very helpful and called me back right away after we had a phone issue!,"Devyonne, Specialist"
11/7/2018,Vendor,5,Yes,[No Answer Entered],"Portia, Specialist"
11/7/2018,SWaM,5,Yes,[No Answer Entered],"Joann, Specialist"
11/7/2018,SWaM,5,Yes,[No Answer Entered],"Joann, Specialist"
11/7/2018,Vendor,3,Yes,[No Answer Entered],"Devyonne, Specialist"
11/7/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/7/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/7/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
11/7/2018,Vendor,5,Yes,[No Answer Entered],"Jennifer, Specialist"
11/7/2018,Buyer,5,Yes,Extremely professional and patient.,"Portia, Specialist"
11/7/2018,Buyer,5,Yes,The representative was very courteous and professional in assisting me in getting the information required,"Miranda, Specialist"
11/7/2018,Buyer,5,Yes,Thank you.,"Sherry, Specialist"
11/7/2018,Buyer,5,Yes,Superb customer care! The best customer service available.,"Sherry, Specialist"
11/7/2018,Vendor,5,Yes,great,"Devyonne, Specialist"
11/7/2018,Vendor,5,Yes,The representative was kind and patient.  Thanks for your help,"Devyonne, Specialist"
11/7/2018,Vendor,5,Yes,Porsha was such a help and awesome to work with,"Portia, Specialist"
11/7/2018,Vendor,5,Yes,Porsha was such a help and awesome to work with,"Portia, Specialist"
11/7/2018,Vendor,5,Yes,She was extremely professional nice and helpful.  Quick to resolve my issues and very polite!,"Miranda, Specialist"
11/7/2018,Vendor,5,Yes,EXCELLENT CUSTOMER SERVICE :),"Joann, Specialist"
11/7/2018,Vendor,5,Yes,Super helpful experience in working with my contact.,"Jennifer, Specialist"
11/6/2018,Vendor,5,Yes,[No Answer Entered],"Devyonne, Specialist"
11/6/2018,Buyer,2,Yes,She put me on hold for over 4 minutes when I ask where to find the CPI-U information and the debarment listing.,"Joann, Specialist"
11/6/2018,Other,5,Yes,Approval flow issues are tricky because it is hard to assist when you cannot see the approver's screen to determine what needs to be clicked on their end to send an IPR on through the approval flow.  (Just an observation) eVA customer service is always stellar.,"Miranda, Specialist"
11/6/2018,Buyer,5,Yes,"Finally after 3 times with Jennifer, I made contact with Portia who smoothly walked me through placing the order. I don't think that Jennifer might be up to date on how to place orders like ours. Otherwise, I am very satisfied with Portia's assistance!","Portia, Specialist"
11/6/2018,Buyer,5,Yes,The Customer Care Representative was very helpful and pleasant.I will explore the eVA Buyer and How to Videos and eVA Buyer Training to see if training and video are conducive to my work.,"Natasha, Lead"
11/6/2018,Buyer,5,Yes,"It is always a pleasure.  I get the answers I need to better serve our customers.

Keep up the great service.  I tell everybody about you.","Portia, Specialist"
11/6/2018,Buyer,5,Yes,n/a,"Jennifer, Specialist"
11/6/2018,Vendor,5,Yes,The customer service person was very helpful and pleasant,"Devyonne, Specialist"
11/6/2018,Vendor,5,Yes,"The person I talked to was very, very patient with me. I am not very Computer Savvy so it takes me a while to understand things. She did a very nice job guiding me through all the steps.","Devyonne, Specialist"
11/6/2018,Vendor,5,Yes,"The lady I talked to was knowledgeable, curtious and professional.","Devyonne, Specialist"
11/6/2018,Vendor,5,Yes,The rep answered in a timely manner and provided me with my account number.,"Portia, Specialist"
11/6/2018,Vendor,5,Yes,Again your staff was very helpful and professional. Thank you for all the assistants provided today.,"Portia, Specialist"
11/6/2018,Vendor,5,Yes,I was greeted in a timely manner.  The rep was pleasant and helpful during our entire phone call. She provided helpful information and instructions on how to submit my request.,"Miranda, Specialist"
11/6/2018,Vendor,5,Yes,The account representative was really helpful.,"Portia, Specialist"
11/5/2018,Vendor,5,Yes,[No Answer Entered],"Jennifer, Specialist"
11/5/2018,Buyer,5,Yes,[No Answer Entered],"Joann, Specialist"
11/5/2018,Buyer,5,Yes,[No Answer Entered],"Portia, Specialist"
11/5/2018,Vendor,5,Yes,[No Answer Entered],"Natasha, Lead"
11/5/2018,Vendor,3,Yes,My issue was resolved but I felt that the person helping me was not really paying attention to our call becuase they were muting me.  Second she did not come accross freindly.  I chalked it up to her having a bad day.,"Sherry, Specialist"
11/5/2018,SWaM,5,Yes,Geat customer service.  Very helpful.,"Jennifer, Specialist"
11/5/2018,Buyer,5,Yes,"My rep was very friendly, understanding and patient. This was important to me because I was very frustrated.","Portia, Specialist"
11/5/2018,Buyer,5,Yes,no issues,"Portia, Specialist"
11/5/2018,Buyer,5,Yes,"Miranda was kind, courteous, efficient and effective. She answered my questions and resolved my issue. I am new to purchasing for my department. I appreciated Miranda's patience and professional manner. She was able to put me at ease. I could not have asked for a better experience.","Miranda, Specialist"
11/5/2018,Buyer,5,Yes,Thank you for all your help. She was very helpful,"Sherry, Specialist"
11/5/2018,Buyer,5,Yes,The representative was very efficient and informative.,"Jennifer, Specialist"
11/5/2018,Vendor,5,Yes,Nice and pleasant lady. I got all my questions answered and she offered additional solutions.,"Portia, Specialist"
11/5/2018,Vendor,5,Yes,Portis explained options of registering with Ariba and the manually driven process.,"Portia, Specialist"
11/5/2018,Vendor,5,Yes,"Portia, indicate that I can either register on Ariba or login to eVA and continue paper correspondence.","Portia, Specialist"
11/5/2018,Vendor,5,Yes,"Very Helpful! I wish I could remember, but the urgency of my problem overshadowed her introduction, please let her know I apologize I did not write her name as I was running between flights in Atlanta.","Jennifer, Specialist"
11/3/2018,Vendor,5,Yes,"Rep was polite, well informed and very helpful. My prior call with a rep was good except that the rep did not know how to solve my problem.

Thanks","Jamel, Lead"
11/2/2018,Buyer,5,Yes,[No Answer Entered],"Jennifer, Specialist"
11/2/2018,Buyer,5,Yes,[No Answer Entered],"Natasha, Lead"
11/2/2018,Other,5,Yes,[No Answer Entered],"Portia, Specialist"
11/2/2018,Buyer,5,Yes,[No Answer Entered],"Portia, Specialist"
11/2/2018,Vendor,5,Yes,[No Answer Entered],"Portia, Specialist"
11/2/2018,Vendor,5,Yes,[No Answer Entered],"Portia, Specialist"
11/2/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/2/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
11/2/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
11/2/2018,Other,5,Yes,"I love when Miranda answers the phone, she is always so nice and courteous and always super helpful !","Miranda, Specialist"
11/2/2018,Buyer,5,Yes,Instantly knew what the problem was and was able to help me resolve the issue while on the phone.,"Portia, Specialist"
11/2/2018,Buyer,5,Yes,"Sherry was very quick, kind and helpful. She took the time to review my QQ issue and was very helpful","Sherry, Specialist"
11/2/2018,Buyer,5,Yes,Extremely helpful,"Jennifer, Specialist"
11/2/2018,Buyer,5,Yes,Very Helpful. Walked me through the process.,"Jennifer, Specialist"
11/2/2018,Buyer,5,Yes,always great,"Sherry, Specialist"
11/2/2018,Vendor,5,Yes,Exceptional service! Exceptionally pleasant! She worked with me to setup a new user on our account.,"Devyonne, Specialist"
11/2/2018,Vendor,5,Yes,changing something to just change it is not cost effect.  Your customers and vendors should not have to call after every change just to be able to use the site.,"Portia, Specialist"
11/2/2018,Vendor,5,Yes,changing something to just change it is not cost effect.  Your customers and vendors should not have to call after every change just to be able to use the site.,"Portia, Specialist"
11/2/2018,Vendor,5,Yes,"They were polite, great listeners, and delighted to help me understand how to resolve my issue.","Portia, Specialist"
11/2/2018,Vendor,5,Yes,"Fast to get on the phone.   Spoke clearly, knew her stuff, very pleasant personality.","Portia, Specialist"
11/2/2018,Vendor,5,Yes,Jennifer was lovely to work with and patiently walked me through adjusting my settings to be sure I was receiving emails for rfqs.  Thanks!,"Jennifer, Specialist"
11/1/2018,Buyer,5,Yes,[No Answer Entered],"Joann, Specialist"
11/1/2018,Vendor,5,Yes,[No Answer Entered],"Portia, Specialist"
11/1/2018,Vendor,2,Yes,"The website is cumbersome and does not work with Chrome.  Customer care was great, but the problem is the website","Miranda, Specialist"
11/1/2018,Vendor,1,No,"very rude and condescending. She tried to suggest I was ""Stupid"" several times! Overall nasty attitude. Very impatient!  Not sure she ever stated her name.","Jennifer, Specialist"
11/1/2018,SWaM,5,Yes,"Apologize I forgot the name of the Customer Care Representative who helped me with my concern, but she was knowledgeable and very pleasant to deal with!","Portia, Specialist"
11/1/2018,Buyer,5,Yes,"It's always a pleasure to speak with your analyst.  They are always friendly, professional, and ready to assist.

Thanks so much for a job well done!","Portia, Specialist"
11/1/2018,Buyer,5,Yes,she was knowledgeable and patient,"Portia, Specialist"
11/1/2018,Buyer,5,Yes,Very helpful,"Miranda, Specialist"
11/1/2018,Buyer,5,Yes,"WISH I REMEMBERED THE CUSTOMER SERVICE REPRESENTATIVE'S NAME, SHE WAS EXTREMELY COURTEOUS AND PROMPT IN HELPING ME WITH RESOLVING MY ISSUE.  I WAS OF THE PHONE IN LESS THAN 3 MINUTES FROM THE TIME I DIALED TO THE END OF THE CALL.","Miranda, Specialist"
11/1/2018,Buyer,5,Yes,Awesome servcie,"Sherry, Specialist"
11/1/2018,Buyer,5,Yes,She actually stayed on the line with me and was able to walk me through what I needed to do. Thank you.,"Sherry, Specialist"
11/1/2018,Buyer,5,Yes,Thorough and excellent always!,"Joann, Specialist"
11/1/2018,Buyer,5,Yes,"Jennifer was very quick, helpful, and kind","Jennifer, Specialist"
11/1/2018,Vendor,5,Yes,"My rep was very helpful, polite and patient.","Miranda, Specialist"
11/1/2018,Vendor,5,Yes,"Awesome service very patient with outstanding service 
Many Thanks","Miranda, Specialist"
11/1/2018,Vendor,5,Yes,Attention to detail - courteous and knowledgeable.  I didn't pay attention to her introduction however and don't remember her name BUT she was great.,"Joann, Specialist"
10/31/2018,Buyer,5,Yes,[No Answer Entered],"Jennifer, Specialist"
10/31/2018,Buyer,4,Yes,[No Answer Entered],"Jennifer, Specialist"
10/31/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
10/31/2018,Buyer,5,Yes,[No Answer Entered],"Jamel, Lead"
10/31/2018,Buyer,5,Yes,[No Answer Entered],"Miranda, Specialist"
10/31/2018,Buyer,5,Yes,[No Answer Entered],"Joann, Specialist"
