Date Started,Who am I,Rating for Cust Care,Was your issue resolved?,Contact Customer?,Comments about Customer Care,Rating for eVA,Comments about eVA Overall,Who worked on your issue
1/24/2019,Vendor,5,Yes,No,The young lady on the phone was very helpful and made sure she answered all my questions.,5,[No Answer Entered],"Joann, Specialist"
1/24/2019,Vendor,5,No,No,was very patience and knowledgeable,5,[No Answer Entered],"Devyonne, Specialist"
1/24/2019,Vendor,5,Yes,No,Excellent service,5,Very good service,"Portia, Specialist"
1/25/2019,Buyer,5,Yes,No,She was very friendly and helpful.,5,She was great!!! No improvement needed.,"Joann, Specialist"
1/25/2019,Buyer,5,Yes,No,Excellent!!!!!,5,You guys are awesome.....Thanks!!!,"Joann, Specialist"
1/25/2019,Buyer,5,Yes,No,Sherry was very helpful in letting me know what my vendor needed to provide and letting me know that I could call back after the document is provided.,5,[No Answer Entered],"Sherry, Specialist"
1/25/2019,Vendor,5,Yes,No,Great service,5,[No Answer Entered],"Joann, Specialist"
1/25/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
1/25/2019,Vendor,5,No,No,"Received excellent assistance, with what form I needed to submit (reinstatement) and walking me through the form.",5,[No Answer Entered],"Joann, Specialist"
1/25/2019,Vendor,5,Yes,No,Sherry did a nice job in resolving the issue,5,I had to call twice and received the same service provider.  She was willing to stay on the phone call until the issue was completed.,"Sherry, Specialist"
1/25/2019,Vendor,5,Yes,Yes,"The customer service person did a great job talking me through the problem i was having accessing our account information. I do think the Popup Blocker when you use Google Chrome is an issue that should be looked into, because it prevents you from logging in to your account information to update users or any other information. You have to be very fast to deal with the blocker-- definitely not easy.",4,[No Answer Entered],"Devyonne, Specialist"
1/25/2019,Vendor,5,Yes,Yes,"Contact was very friendly, knowledgeable, and patient",5,great experience,"Joann, Specialist"
1/25/2019,Vendor,5,Yes,No,Customer service rep was extremely friendly and helpful.,5,[No Answer Entered],"Joann, Specialist"
1/25/2019,Vendor,2,No,No,[No Answer Entered],4,[No Answer Entered],"Sherry, Specialist"
1/25/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Natasha, Lead"
1/25/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Portia, Specialist"
1/25/2019,Vendor,5,Yes,No,Excellent and very thorough.,5,Sherry and Debbie both worked on our problem and their help was very much appreciated,"Sherry, Specialist"
1/25/2019,Vendor,5,Yes,No,outstanding,5,[No Answer Entered],"Devyonne, Specialist"
1/25/2019,Buyer,5,Yes,No,"Jamel was amazing.  He worked with the issue for about 45 minutes, taking time to explain and answer my many questions.  I really appreciated his expertise in this complicated system.",5,[No Answer Entered],"Jamel ""Mel"", Lead"
1/25/2019,Vendor,5,Yes,No,She was very helpful and patient.,5,[No Answer Entered],"Jennifer, Specialist"
1/25/2019,Buyer,5,Yes,No,"Great Service as always. Portia was  professional, friendly and knowledgeable.",5,You guys are the best.,"Portia, Specialist"
1/25/2019,Vendor,5,Yes,No,Excellent,5,[No Answer Entered],"Sherry, Specialist"
1/25/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Portia, Specialist"
1/25/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Sherry, Specialist"
1/25/2019,Vendor,5,Yes,No,[No Answer Entered],4,"I still just don't quite understand why the website wouldn't just work and I had to call in.
Also - the whole website is pretty hard to understand - the My Account info is sort of hidden.","Devyonne, Specialist"
1/25/2019,Vendor,5,Yes,No,Great listener! And informative.,5,"I was/am frustrated with the ""quick quotes"". They seem unrealistic for the small business firms. And, VA promotes doing business with small /micro business. We cannot always drop what we are doing to try and quote. It's frustrating. And, I have also found that some fo these buyers end up buying from an out of state firm, not local. Seems unfair.","Portia, Specialist"
1/25/2019,Vendor,5,Yes,No,"Friendly, helpful and professional",5,[No Answer Entered],"Devyonne, Specialist"
1/25/2019,Vendor,5,Yes,No,Lady was patient and very helpful.,5,[No Answer Entered],"Natasha, Lead"
1/25/2019,SWaM (SBSD),5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Natasha, Lead"
1/28/2019,Buyer,5,Yes,No,I was very satisfied with the service I received.,5,[No Answer Entered],"Jennifer, Specialist"
1/28/2019,Vendor,5,Yes,No,"Very professional, provided a solution quickly and efficiently in a friendly manner!",5,[No Answer Entered],"Portia, Specialist"
1/28/2019,Vendor,5,Yes,No,Much appreciate the prompt and professional service received.,5,"Very pleased.

(I think the person I spoke with was Miranda.)","Miranda, Specialist"
1/28/2019,Vendor,5,Yes,No,"The customer care representative contacted me quickly, and was very helpful and pleasant.",5,[No Answer Entered],"Portia, Specialist"
1/28/2019,Vendor,5,Yes,Yes,Jennifer is very helpful. She gives complete and clear information/instructions.,5,[No Answer Entered],"Jennifer, Specialist"
1/28/2019,Vendor,5,Yes,No,They looked into my issue. They were pleasant and professional.,5,[No Answer Entered],"Sherry, Specialist"
1/28/2019,Vendor,5,Yes,No,Thank you so much!,5,[No Answer Entered],"Devyonne, Specialist"
1/28/2019,Vendor,5,Yes,No,very good. thank you.,5,[No Answer Entered],"Sherry, Specialist"
1/28/2019,Vendor,5,Yes,No,Excellent!,5,[No Answer Entered],"Jennifer, Specialist"
1/28/2019,Vendor,5,Yes,No,The staff was very helpful and friendly over the phone. I really appreciated their help.,5,[No Answer Entered],"Miranda, Specialist"
1/28/2019,Buyer,5,Yes,No,Called to determine if a vendor had in fact submitted his information to be set up as a vendor.  Representative helped determine he had not as he was not in the system same as I was seeing from my side when searching for him.,5,Representative was helpful and polite.,"Devyonne, Specialist"
1/28/2019,Vendor,1,No,Yes,[No Answer Entered],1,[No Answer Entered],"Devyonne, Specialist"
1/28/2019,Vendor,5,Yes,No,"Promptly answered call, very pleasant & helpful!  Able to answer my questions & get issues resolved in minutes!",5,[No Answer Entered],"Jennifer, Specialist"
1/28/2019,Buyer,4,Yes,No,"The specialist is very well spoken and articulate. However, she was a bit abrasive during the initial call, so I responded back in a similar tone. She resolved my issue on the return call in a pleasant and professional manner.",4,We all should be mindful that delivery goes a long way.,"Jennifer, Specialist"
1/28/2019,Vendor,5,Yes,No,[No Answer Entered],3,"Mass emails by users need to be contained. Portia is great, thought!","Portia, Specialist"
1/29/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Portia, Specialist"
1/29/2019,Buyer,5,Yes,No,Well .. I learned something .. which is very helpful in my future catalog ordering,3,the lady that helped me was awesome ... very very helpful ... she walked me through everything like a pro.,"Joann, Specialist"
1/29/2019,Vendor,5,Yes,No,"Polite, efficient, and helpful.",5,[No Answer Entered],"Sherry, Specialist"
1/29/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
1/29/2019,Vendor,5,Yes,No,I needed to locate my eVA certification number to include on an invoice for a job I performed for VDOT.,5,"The Customer Care Representative was very helpful, patient, and seemed happy to help.  It was admirable that although she was willing to give me the answer, she took the time to walk me through how to come about the answer on my own.  Once I got it, she just verified that I had pulled up the correct information.  I really appreciated that level of service and support.","Devyonne, Specialist"
1/29/2019,Vendor,5,Yes,No,Great customer service.  Just too long of wait to get service,4,[No Answer Entered],"Sherry, Specialist"
1/29/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
1/29/2019,Vendor,5,No,No,"Joanne was excellent.  Let me know that I needed the person who set up the eVA account in 2013/14, could add me to the account.  However, after I hung up, the email of this person is not longer valid.  Had to call back.",5,[No Answer Entered],"Joann, Specialist"
1/29/2019,Vendor,5,Yes,No,"I wish we had Natasha employed at our company in Irvine, California.  Through, extremely knowledgeable, patient and impressive.  I am sure this is not the first time a survey has given her high marks for performance.",5,"105% impressed with her help.  I set high standards for myself, and Natasha would have been a great runner!
Jim
1984, 1992 and 1996 USA Olympic teams","Natasha, Lead"
1/29/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
1/29/2019,Vendor,5,Yes,No,The person helphing was very professional and helpful. Didn't rush and explained where I could find information needed. I hate that I can't recall her name as she deserves recognition of outstanding service.,5,[No Answer Entered],"Natasha, Lead"
1/29/2019,Vendor,5,Yes,No,Agent was very professional and knowledgeable.  She was able to answer all my questions.,5,Great Experience,"Natasha, Lead"
1/29/2019,Buyer,5,Yes,No,Customer Service staff was very professional,5,[No Answer Entered],"Sherry, Specialist"
1/29/2019,Vendor,5,Yes,No,"Prompt, courteous, patient and efficient",5,"Prompt, courteous, patient and efficient","Sherry, Specialist"
1/29/2019,Buyer,5,Yes,No,"Sherry effectively addressed all of my questions and concerns.  She was very professional, courteous and helpful.  Keep up the great work!!!!!",5,"As usual, great experience.","Sherry, Specialist"
1/29/2019,Vendor,5,Yes,No,The agent was friendly and worked quickly to help me resolve my issue,5,[No Answer Entered],"Devyonne, Specialist"
1/29/2019,Vendor,5,Yes,No,The person was patient and helpful. She also made sure that I knew how to find the information in the future.,5,[No Answer Entered],"Teresa, Analyst"
1/29/2019,Vendor,5,Yes,No,Great service and friendly interaction.,5,You can tell when someone greets the phone with a smile. This happened today!,"Teresa, Analyst"
1/29/2019,Vendor,5,Yes,No,"Great Customer Service, what a pleasure!",5,[No Answer Entered],"Natasha, Lead"
1/29/2019,Vendor,5,Yes,No,Thanks for all the help,5,[No Answer Entered],"Teresa, Analyst"
1/29/2019,Vendor,5,Yes,No,"The lady that helped me showed the highest customer service. - very professional and is an asset to your company.  Thank you for hiring individual of her caliper.
",5,[No Answer Entered],"Sherry, Specialist"
1/29/2019,Vendor,5,Yes,No,She was very sweet and we found the issue very quickly!,5,[No Answer Entered],"Devyonne, Specialist"
1/29/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
1/29/2019,Vendor,5,Yes,No,Excellent service from Miranda.  She was able to provide the path to where I needed to locate information on eVA and was very patient with me while we walked through the steps.,5,[No Answer Entered],"Miranda, Specialist"
1/30/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
1/30/2019,Vendor,5,Yes,No,Thanks for the great customer service and patience with me!,5,[No Answer Entered],"Jennifer, Specialist"
1/30/2019,Vendor,5,Yes,No,eVA Customer Service person was friendly and helpful,5,The bid processing sheets are difficult to understand and not clear how to get back to saved draft responses.,"Jennifer, Specialist"
1/30/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
1/30/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
1/30/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
1/30/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
1/30/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
1/30/2019,Vendor,5,Yes,No,The tech who helped me was very polite and knew her stuff. Many thanks!  I did not get a name.,5,I really like the new format.  So much easier to search and look at jobs.,"Devyonne, Specialist"
1/30/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
1/30/2019,Buyer,5,Yes,No,Joann is the best!!,5,[No Answer Entered],"Joann, Specialist"
1/30/2019,Vendor,5,No,No,"Sherry was not able to proved the VA SCC ID#, but she was able to tell who to contact.",5,[No Answer Entered],"Sherry, Specialist"
1/30/2019,Buyer,5,Yes,No,"Very pleasant and professional demeanor, extremely helpful and patient. Issue was resolved quickly and correctly.",3,"Overall, I wish eVA was more user-friendly and streamlined. In my experience it tends to be slow and cumbersome.","Sherry, Specialist"
1/30/2019,Vendor,5,Yes,No,The tech agent is very knowledgeable and treated me very well.,5,[No Answer Entered],"Jennifer, Specialist"
1/30/2019,Vendor,5,Yes,No,Debbie provided excellent service!!,5,Issue was rectified immediately in a friendly/professional manner.....greatly appreciated!,"Devyonne, Specialist"
1/30/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Teresa, Analyst"
1/30/2019,Buyer,5,Yes,No,"Joann effectively addressed all of my questions and concerns.  She was very professional, courteous and helpful.  Keep up the great work!!!!!",5,"As usual, great experience.","Joann, Specialist"
1/30/2019,Buyer,5,Yes,No,She was very nice and accommodating.,5,[No Answer Entered],"Joann, Specialist"
1/30/2019,Buyer,1,No,Yes,Didn't resolve my problem,1,[No Answer Entered],"Sherry, Specialist"
1/30/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
1/31/2019,Buyer,5,No,No,[No Answer Entered],5,GREAT CUSTOMER SERVICE,"Joann, Specialist"
1/31/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
1/31/2019,Vendor,5,Yes,No,The Eva rep called back a second time to talk.  Then resolved all my issues.  Excellant service!,5,Eva rep was extremely nice and helpful!,"Jennifer, Specialist"
1/31/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Sherry, Specialist"
1/31/2019,Vendor,5,Yes,No,the service is always excellent,5,[No Answer Entered],"Joann, Specialist"
1/31/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
1/31/2019,Vendor,5,Yes,No,Very helpful!,5,Resolved the issue and was very helpful,"Joann, Specialist"
1/31/2019,Vendor,5,Yes,No,EXCELLENT,5,EXCELLENT,"Jennifer, Specialist"
1/31/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Sherry, Specialist"
1/31/2019,Vendor,5,Yes,No,Outstanding Customer Service,5,[No Answer Entered],"Jennifer, Specialist"
1/31/2019,Vendor,5,Yes,No,[No Answer Entered],4,[No Answer Entered],"Natasha, Lead"
1/31/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
1/31/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
1/31/2019,Vendor,5,Yes,No,Whomever I talked with was GREAT and quite helpful...,5,[No Answer Entered],"Miranda, Specialist"
1/31/2019,SWaM (SBSD),5,Yes,No,Very patient and helpful! Really terrific help desk.,4,[No Answer Entered],"Joann, Specialist"
1/31/2019,Vendor,5,Yes,No,Your Customer Service rep was spot-on with what I needed to do to correct my problem.  Thank her for me. - David,5,[No Answer Entered],"Miranda, Specialist"
1/31/2019,SWaM (SBSD),5,Yes,No,Talked to them twice in the past 3 days - excellent both times - quick & to the point.,5,[No Answer Entered],"Joann, Specialist"
1/31/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
1/31/2019,Vendor,5,Yes,No,"Very professional, patient and polite.  I truly appreciated the time she took to assist me with my issue.  She was very pleasant and helpful with a smile.",5,"I was totally satisfied.  I can't remember the name of the person who assisted me,  but she was very good.","Joann, Specialist"
1/31/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
1/31/2019,Vendor,5,Yes,No,Very friendly representative. She answered all my questions and seemed very knowledgeable with eVA.,5,[No Answer Entered],"Natasha, Lead"
2/1/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
2/1/2019,Buyer,4,No,No,I wanted an eVa UN and PW.  Debbie instructed me to seek out the approval of the Procurement Officer from VDOT to get one.,4,[No Answer Entered],"Devyonne, Specialist"
2/1/2019,Vendor,5,Yes,No,Friendly and very helpful and quickly resolved my question.,5,[No Answer Entered],"Sherry, Specialist"
2/1/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
2/1/2019,Vendor,5,Yes,No,"The customer care representative was courteous, professional, and resolved my issue fully.",5,I do not recall the name of the representative but she was good.,"Chandra, Specialist"
2/1/2019,Vendor,5,Yes,No,"Very pleasant, knowledgeable, and helpful associate.",5,[No Answer Entered],"Sherry, Specialist"
2/1/2019,Vendor,5,Yes,No,Impressed by relatively short wait time and great customer service. Fully answered my questions.,5,[No Answer Entered],"Miranda, Specialist"
2/1/2019,Vendor,5,Yes,No,Sherry answered my questions,5,[No Answer Entered],"Sherry, Specialist"
2/1/2019,SWaM (SBSD),5,Yes,No,"Very helpful, as usual.",4,[No Answer Entered],"Jennifer, Specialist"
2/1/2019,Vendor,5,Yes,No,"Quick, informative and resolved my issue.",5,[No Answer Entered],"Devyonne, Specialist"
2/1/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
2/1/2019,SWaM (SBSD),5,Yes,No,very helpful,5,[No Answer Entered],"Jamel ""Mel"", Lead"
2/1/2019,Buyer,5,Yes,No,Excellent service - easy to understand directions very helpful,5,[No Answer Entered],"Jennifer, Specialist"
2/1/2019,Vendor,5,Yes,No,excellent  service,5,just keep doing whatyou are doing now,"Jamel ""Mel"", Lead"
2/1/2019,Vendor,5,Yes,No,"quick answer, essentially zero time on hold, extremely helpful and knowledgeable.",5,excellent helpful service,"Jennifer, Specialist"
2/2/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
2/3/2019,SWaM (SBSD),5,Yes,No,Natasha was very knowledgeable about the system and took the time to listen to my situation.,5,Thank you!,"Miranda, Specialist"
2/4/2019,Vendor,5,Yes,No,professional and responsive.,5,Thank you,"Jennifer, Specialist"
2/4/2019,Buyer,5,Yes,No,Very professional and courteous,5,[No Answer Entered],"Jennifer, Specialist"
2/4/2019,Vendor,5,Yes,No,"My customer service representative was very helpful, informative, and professional.",5,[No Answer Entered],"Devyonne, Specialist"
2/4/2019,Vendor,5,Yes,No,Sherry was excellent.  Very customer oriented and patient!  She went the extra distance to help me today. Kim Paonessa,5,[No Answer Entered],"Sherry, Specialist"
2/4/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jamel ""Mel"", Lead"
2/4/2019,Vendor,5,Yes,No,Customer rep was pleasant and understanding of my issue.,5,[No Answer Entered],"Devyonne, Specialist"
2/4/2019,Vendor,5,Yes,No,Very efficient and pleasant to speak with.,5,[No Answer Entered],"Sherry, Specialist"
2/4/2019,Vendor,5,Yes,No,Excellent service,4,[No Answer Entered],"Sherry, Specialist"
2/4/2019,Vendor,5,Yes,No,Spectacular & courteous!!!!,5,see #7,"Joann, Specialist"
2/4/2019,Vendor,5,Yes,No,"Very good, she knew exactly how to help me",5,Very Good,"Devyonne, Specialist"
2/4/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
2/5/2019,Vendor,5,Yes,No,"Miranda's assistance in resolving multiple issues was outstanding! Very patient, explained all aspects thoroughly. I wish all customer support personnel was as amazing as her!",5,"Please see above. I am new to navigating through your site and 1 item that might be helpful would be to have, if possible, a message that comes up saying that when loading a new page due to a large amount of data that needs to download, it may take a few moments...","Miranda, Specialist"
2/5/2019,Vendor,5,Yes,No,Very helpful and professional!,5,[No Answer Entered],"Portia, Specialist"
2/5/2019,Vendor,5,Yes,No,"Agent stayed on the phone with me throughout the entire process, Great Customer Service!",4,[No Answer Entered],"Jennifer, Specialist"
2/5/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jamel ""Mel"", Lead"
2/5/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Chandra, Specialist"
2/5/2019,Vendor,5,Yes,No,"Very patient, knowledgable and helpful representatives!",4,"Great overall! I had a bit of a problem getting to my account page, because my browser wouldn't allow popups.","Sherry, Specialist"
2/5/2019,Buyer,5,Yes,No,"Very helpful, good explanation, she gave me added information.",5,Great job!,"Jennifer, Specialist"
2/5/2019,Vendor,5,Yes,No,exceLLENT  service- very patient...,5,[No Answer Entered],"Devyonne, Specialist"
2/5/2019,Vendor,5,Yes,No,The woman on the phone was fantastic. Direct to the point and above all: Kind.,5,[No Answer Entered],"Joann, Specialist"
2/5/2019,Vendor,5,Yes,No,"This call was not at all the way I was expecting it to go.  The directions in the eVA email had proven to be confusing and ineffective, but when the representative came on the line she clarified everything and made it simple.  We resolved the issue so quickly that the hold time was longer than the resolution and I had a confident smile on my face, with an understanding of eVA, Ariba, and how to reduce the error message in the future.  Portia was quite pleasant.",3,"eVA has given me trouble from the day we registered, but we manage it as necessary and not any more frequently than that.  The temporary login and password never work as expected in comparison to other accounts that provide temporary login credentials.  This constant glitch deters our frequency in managing the eVA account.","Portia, Specialist"
2/6/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
2/6/2019,Vendor,5,Yes,No,Portia was superb,5,[No Answer Entered],"Portia, Specialist"
2/6/2019,Vendor,5,Yes,No,"Customer Service Representative was Portia and I am very satisfied with her help.
",5,[No Answer Entered],"Portia, Specialist"
2/6/2019,Buyer,5,Yes,No,"Jennifer effectively addressed all of my questions and concerns.  She was very professional, courteous and helpful.  Keep up the great work!!!!",5,Great experience eVA.  Keep up the great services that you provide.,"Jennifer, Specialist"
2/6/2019,Vendor,5,Yes,No,Portia was courteous and most helpful.,5,[No Answer Entered],"Portia, Specialist"
2/6/2019,SWaM (SBSD),5,Yes,No,"The service person was friendly, helpful and very patient.  My concern was handled with exceptional speed.",5,"phone line was a little staticky, if that is a word.","Joann, Specialist"
2/6/2019,Vendor,5,Yes,No,polite and helpful,5,[No Answer Entered],"Devyonne, Specialist"
2/6/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
2/6/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
2/6/2019,Other,5,Yes,No,"Support care walked me through website on the phone.  Very helpful.  Sorry, I did not have the person's name that helped me.",5,[No Answer Entered],"Miranda, Specialist"
2/6/2019,Vendor,5,No,Yes,Very Knowledgeable.,5,[No Answer Entered],"Devyonne, Specialist"
2/6/2019,Vendor,3,Yes,Yes,"The first call was horrile. The care rep sounded less than enthused to be on the phone to assist...to do her job! I had no idea what about the process I was inquiring about hence there was an error regarding my legal name. I only logged into the account once to take care of paperwork to be a vendor for VA state agency and that was in October. I told her I had to call back because I could tell the experience was not going to end well. I called back moments later to speak with another care rep, who was great! Walked me through the steps and when I was confused she elaborated and cover other questions I had without even having to ask. She would get a 5! The first rep, a 0 if that were possible...especially since an HR rep from the agency just gave your customer service help desk a great review when telling me who to contact for the issue.",4,"I think the rep&#8217;s name was Miranda (youthful, cheerful voice). The other rep had a deeper or mature sounding voice and spoke somewhat lazily...similar to sounding sleepy. I think some phone etiquette training is in order.","Miranda, Specialist"
2/6/2019,Other,5,Yes,No,"Professional, courteous, and friendly.",5,Good.,"Sherry, Specialist"
2/6/2019,Vendor,5,Yes,No,Excellent customer service.,4,[No Answer Entered],"Portia, Specialist"
2/6/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
2/6/2019,Vendor,5,Yes,No,Service agent was very pleasant!Really worked at fixing my issue.,5,[No Answer Entered],"Sherry, Specialist"
2/6/2019,Vendor,5,Yes,No,"Received excellent guidance from Devyonne. She could not have been more helpful, or pleasant, as well as being very knowledgeable in the workings of the website.

Thank you!",5,[No Answer Entered],"Devyonne, Specialist"
2/6/2019,Vendor,1,No,No,She didn't know what I was talking about. She couldn't help me through the process.  The process is ridiculous for a teacher to go through to set up payment for $100 for getting a student teacher. Very complicated. She kept saying she didn't know.  Well I sure didn't as that's why I was calling.,1,too complicated-,"Devyonne, Specialist"
2/6/2019,Vendor,4,Yes,No,"good technical knowledge; very good follow up and response time overall.

Little short at the start of the call; warmed up after a joke was made.",4,[No Answer Entered],"Sherry, Specialist"
2/7/2019,Buyer,5,Yes,No,Good service. Solved my issue,5,[No Answer Entered],"Devyonne, Specialist"
2/7/2019,Buyer,5,Yes,No,Good service. Solved my issue,5,[No Answer Entered],"Devyonne, Specialist"
2/7/2019,Buyer,5,Yes,No,"Natasha went above and beyond to hep me get my issue resolved, and was wonderful at keeping in contact to keep me up to date as it was resolved.",5,[No Answer Entered],"Natasha, Lead"
2/7/2019,Buyer,4,Yes,No,[No Answer Entered],4,[No Answer Entered],"Portia, Specialist"
2/7/2019,Buyer,5,Yes,No,So far every time I have called - Customer Care has been very understanding and ready to guide me in the right direction.,5,GREAT !!,"Sherry, Specialist"
2/7/2019,Buyer,5,Yes,No,[No Answer Entered],5,"Love eVA. Great system and great support. Thank you!
","Joann, Specialist"
2/7/2019,Vendor,5,Yes,No,Chandra did a wonderful job. Made several phone calls to get the issued resolved and patiently walked me through each step.,5,Best Customer Service I've had at a bid portal site.,"Chandra, Specialist"
2/7/2019,Buyer,5,Yes,No,Prompt and courteous,5,[No Answer Entered],"Portia, Specialist"
2/7/2019,Vendor,5,Yes,No,excellent service,5,[No Answer Entered],"Natasha, Lead"
2/7/2019,Vendor,5,Yes,No,She was very personable and super patient (while my internet was running slow),5,"Waited about 2 minutes to reach someone, which is fairly fast.","Portia, Specialist"
2/7/2019,Vendor,5,Yes,No,The customer service agent was very polite and provided me with the information I needed,5,[No Answer Entered],"Devyonne, Specialist"
2/7/2019,Vendor,5,Yes,No,"Very excellent-Patient, Knowledgeable, Caring",5,[No Answer Entered],"Portia, Specialist"
2/7/2019,Vendor,5,Yes,No,My service was excellent!,5,[No Answer Entered],"Chandra, Specialist"
2/7/2019,Buyer,5,Yes,No,Debbie quickly understood my issue and offered a solution.  Very efficient!,5,[No Answer Entered],"Devyonne, Specialist"
2/7/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Chandra, Specialist"
2/7/2019,Vendor,5,Yes,No,[No Answer Entered],4,[No Answer Entered],"Miranda, Specialist"
2/7/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
2/7/2019,SWaM (SBSD),5,Yes,No,The service rep was able to determine the solution to my problem and explain my options.,5,[No Answer Entered],"Natasha, Lead"
